step_number,epoch_number,training_loss
1,0,4.265220642089844
2,0,3.1957778930664062
3,0,2.398512363433838
4,0,1.8580801486968994
5,0,1.3636095523834229
6,0,1.0266081094741821
7,0,0.8262578248977661
8,0,0.8170832991600037
9,0,0.5368998050689697
10,0,0.4817703068256378
11,0,0.25261548161506653
12,0,0.2288130819797516
13,1,0.23998969793319702
14,1,0.20640933513641357
15,1,0.11225557327270508
16,1,0.1301233321428299
17,1,0.12644743919372559
18,1,0.08504007756710052
19,1,0.10381507873535156
20,1,0.12077388167381287
21,1,0.08435799181461334
22,1,0.07722041010856628
23,1,0.05086599662899971
24,1,0.06780511140823364
25,2,0.07931078225374222
26,2,0.08774179965257645
27,2,0.051477279514074326
28,2,0.07647216320037842
29,2,0.0713067427277565
30,2,0.06374067813158035
31,2,0.07353246212005615
32,2,0.0907503068447113
33,2,0.06354700773954391
34,2,0.05534512549638748
35,2,0.03459490090608597
36,2,0.052551090717315674
